question_id,final_letter,correct_letter,correct,stage_failures,context_overflow,expert_tokens,critic_tokens,evaluator_tokens,synthesizer_tokens,generalist_tokens,total_prompt_tokens_stage5,elapsed_s
gpqa_000,A,C,0,0,0,222,354,1024,1024,7,1177,20.5
gpqa_002,A,B,0,0,0,1024,611,448,133,122,318,15.1
gpqa_007,B,B,1,0,0,1024,662,739,581,7,1050,19.7
gpqa_009,B,B,1,0,0,462,470,696,308,7,466,12.6
gpqa_010,C,C,1,0,0,305,381,610,79,7,472,9.3
gpqa_012,C,A,0,0,0,251,1024,838,1024,7,1369,20.2
gpqa_013,B,B,1,0,0,222,349,1024,255,7,413,12.1
gpqa_018,A,A,1,0,0,372,380,650,194,7,739,10.8
gpqa_019,A,D,0,0,0,212,278,425,1001,7,1209,12.5
gpqa_022,A,B,0,0,0,211,310,1024,986,7,1262,16.4
gpqa_023,B,B,1,0,0,479,449,501,409,7,637,11.9
gpqa_025,C,B,0,0,0,265,381,485,285,7,669,9.5
gpqa_026,A,A,1,0,0,362,582,453,240,7,412,10.9
gpqa_028,B,A,0,0,0,299,498,761,299,7,697,12.2
gpqa_035,A,C,0,0,0,404,411,873,184,7,349,12.4
gpqa_040,C,A,0,0,0,307,703,920,270,7,430,14.3
gpqa_042,C,A,0,0,0,397,458,642,642,7,921,14.0
gpqa_046,A,A,1,0,0,261,328,1024,436,7,652,13.1
gpqa_049,C,C,1,0,0,429,458,1024,259,7,470,14.0
gpqa_052,B,B,1,0,0,256,589,700,536,7,760,13.5
gpqa_053,A,C,0,0,0,168,290,719,162,7,356,9.1
gpqa_054,B,A,0,0,0,548,522,892,291,7,489,14.7
gpqa_055,B,B,1,0,0,429,522,1024,390,7,661,15.4
gpqa_057,C,C,1,0,0,125,292,386,110,7,208,6.5
gpqa_059,D,A,0,0,0,581,433,647,174,7,378,12.2
gpqa_061,A,A,1,0,0,716,606,721,393,7,652,15.9
gpqa_064,C,A,0,0,0,258,447,566,312,7,612,10.7
gpqa_065,B,D,0,0,0,119,1024,926,392,7,525,15.5
gpqa_069,A,D,0,0,0,112,236,457,97,7,272,5.9
gpqa_073,D,C,0,0,0,518,361,553,142,11,311,9.9
gpqa_074,A,A,1,0,0,486,437,265,630,7,1275,11.6
gpqa_075,C,B,0,0,0,1024,1024,567,1024,7,1253,22.6
gpqa_076,C,B,0,0,0,260,372,591,338,7,900,10.4
gpqa_078,A,D,0,0,0,245,426,843,1024,7,1388,16.3
gpqa_080,C,C,1,0,0,296,499,444,363,7,612,10.6
gpqa_082,C,B,0,0,0,1024,1016,1024,1024,7,1212,26.1
gpqa_083,B,B,1,0,0,269,292,614,331,7,469,10.1
gpqa_084,C,A,0,0,0,525,623,869,396,7,685,15.7
gpqa_087,B,B,1,0,0,186,401,504,400,7,577,9.9
gpqa_088,C,A,0,0,0,267,581,880,279,7,536,12.8
gpqa_090,A,A,1,0,0,294,402,756,426,7,667,12.2
gpqa_094,A,B,0,0,0,336,350,1024,665,7,931,15.4
gpqa_097,A,B,0,0,0,326,332,413,79,7,271,7.9
gpqa_098,A,A,1,0,0,285,623,853,258,7,623,13.3
gpqa_099,B,C,0,0,0,343,492,733,274,7,507,12.0
gpqa_100,A,A,1,0,0,747,477,885,313,7,542,15.7
gpqa_101,C,C,1,0,0,248,332,555,192,7,622,9.1
gpqa_102,C,C,1,0,0,393,802,965,364,7,715,16.4
gpqa_103,,C,0,0,0,288,388,573,511,7,736,11.6
gpqa_104,A,B,0,0,0,355,413,607,267,7,508,11.1
gpqa_106,B,A,0,0,0,161,333,481,132,7,414,7.8
gpqa_110,C,A,0,0,0,392,613,763,267,7,612,13.4
gpqa_113,C,C,1,0,0,468,586,772,1024,7,1222,18.3
gpqa_114,B,B,1,0,0,1024,716,693,190,7,375,16.2
gpqa_116,A,A,1,0,0,355,520,1024,1024,7,1259,17.9
gpqa_117,A,B,0,0,0,524,399,590,1024,7,1201,15.6
gpqa_118,C,A,0,0,0,257,391,556,333,7,655,9.7
gpqa_119,A,A,1,0,0,142,336,627,222,7,355,8.4
gpqa_125,A,B,0,0,0,643,1024,627,269,7,526,16.3
gpqa_127,A,A,1,0,0,662,554,824,135,7,2976,16.1
gpqa_129,B,A,0,0,0,1024,405,1024,1024,7,1159,22.2
gpqa_131,C,C,1,0,0,301,379,599,407,7,734,11.1
gpqa_134,A,C,0,0,0,449,556,971,309,7,680,14.6
gpqa_135,B,D,0,0,0,159,429,667,218,7,413,9.3
gpqa_137,A,A,1,0,0,429,540,547,261,7,445,11.0
gpqa_146,D,A,0,0,0,751,472,796,188,7,331,14.1
gpqa_148,B,D,0,0,0,200,500,686,399,7,657,11.7
gpqa_149,A,D,0,0,0,341,488,680,190,7,446,11.3
gpqa_156,D,D,1,0,0,169,366,835,1024,7,1245,15.5
gpqa_157,B,D,0,0,0,126,254,450,322,7,540,7.8
gpqa_164,A,D,0,0,0,68,141,387,158,7,444,5.6
gpqa_165,B,D,0,0,0,505,672,765,380,8,1277,15.7
gpqa_168,C,C,1,0,0,334,531,546,269,7,499,11.0
gpqa_169,C,C,1,0,0,162,341,711,170,7,329,9.2
gpqa_170,A,A,1,0,0,902,585,1024,1024,7,1266,21.9
gpqa_173,C,A,0,0,0,851,725,695,830,7,1042,20.0
gpqa_175,C,B,0,0,0,281,388,714,172,7,460,10.4
gpqa_180,C,B,0,0,0,420,456,619,279,7,553,11.7
gpqa_184,D,D,1,0,0,458,340,748,451,7,641,12.8
gpqa_188,C,C,1,0,0,182,313,812,302,7,402,10.6
