question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":9}"
gpqa_002,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_007,DELEGATE,ANSWER,0.7778,0.0,"{""choice"":""DELEGATE"",""answer"":null,""confidence"":null}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":8}"
gpqa_009,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":9}"
gpqa_010,ANSWER,ANSWER,0.8571,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_012,ANSWER,ANSWER,0.6667,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":7}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":8}"
gpqa_013,ANSWER,ANSWER,0.6667,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_018,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":8}"
gpqa_019,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":9}"
gpqa_022,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":7}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":8}"
gpqa_023,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":8}"
gpqa_025,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":7}"
gpqa_026,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_028,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":8}"
gpqa_035,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":8}"
gpqa_040,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_042,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":8}"
gpqa_046,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_049,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":9}"
gpqa_052,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":8}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":9}"
gpqa_053,ANSWER,ANSWER,0.875,0.3,"{""choice"":""ANSWER"",""answer"":""C"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""C"",""confidence"":9}"
gpqa_054,ANSWER,ANSWER,0.7778,0.3,"{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""A"",""confidence"":9}"
gpqa_055,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""B"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""B"",""confidence"":9}"
gpqa_057,ANSWER,ANSWER,0.8889,0.3,"{""choice"":""ANSWER"",""answer"":""D"",""confidence"":9}","{""choice"":""ANSWER"",""answer"":""D"",""confidence"":9}"
