question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": false, ""revised_answer"": ""C"", ""revised_confidence"": 5}
```"
gpqa_002,A,A,False,False,False,0.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_007,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_009,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_010,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_012,B,B,False,False,False,0.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_013,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_018,B,B,False,False,False,0.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_019,D,D,False,True,True,1.0,"```json
{""answer"": ""D"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_022,A,A,False,False,False,0.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_023,C,C,False,False,False,0.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_025,C,C,False,False,False,0.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_026,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
gpqa_028,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": 5}
```"
