question_id,answer,correct,confidence,delegated,difficulty
gpqa_000,C,1,4.0,0,0.7778
gpqa_002,A,0,3.0,0,0.7778
gpqa_007,A,0,3.0,0,0.7778
gpqa_009,C,0,4.0,0,0.8889
gpqa_010,C,1,4.0,0,0.8571
gpqa_012,,0,,1,0.6667
gpqa_013,B,1,4.0,0,0.6667
gpqa_018,,0,,1,0.875
gpqa_019,D,1,4.0,0,0.7778
gpqa_022,B,1,3.0,0,0.8889
gpqa_023,D,0,4.0,0,0.8889
gpqa_025,,0,,1,0.8889
gpqa_026,A,1,4.0,0,0.8889
gpqa_028,B,0,4.0,0,0.7778
gpqa_035,A,0,4.0,0,0.8889
gpqa_040,A,1,4.0,0,0.875
gpqa_042,B,0,4.0,0,0.8889
gpqa_046,A,1,4.0,0,0.8889
gpqa_049,C,1,4.0,0,0.875
gpqa_052,B,1,4.0,0,0.875
gpqa_053,C,1,4.0,0,0.875
gpqa_054,A,1,4.0,0,0.7778
gpqa_055,B,1,4.0,0,0.8889
gpqa_057,D,0,4.0,0,0.8889
gpqa_059,C,0,4.0,0,0.8889
gpqa_061,,0,,1,0.7778
gpqa_064,,0,,1,0.75
gpqa_065,D,1,4.0,0,0.7778
gpqa_069,,0,,1,0.8889
gpqa_073,D,0,4.0,0,0.8889
gpqa_074,A,1,4.0,0,0.4444
gpqa_075,D,0,4.0,0,0.8889
gpqa_076,,0,,1,0.8889
gpqa_078,D,1,4.0,0,0.8889
gpqa_080,,0,,1,0.7778
gpqa_082,B,1,4.0,0,0.875
gpqa_083,B,1,4.0,0,0.8571
gpqa_084,B,0,4.0,0,0.8889
gpqa_087,B,1,4.0,0,0.625
gpqa_088,,0,,1,0.8889
gpqa_090,,0,,1,0.7778
gpqa_094,,0,,1,0.7778
gpqa_097,,0,,1,0.8889
gpqa_098,C,0,4.0,0,0.8889
gpqa_099,C,1,4.0,0,0.8889
gpqa_100,A,1,4.0,0,0.7778
gpqa_101,B,0,4.0,0,0.625
gpqa_102,B,0,4.0,0,0.7778
gpqa_103,C,1,4.0,0,0.8889
gpqa_104,B,1,4.0,0,0.7778
gpqa_106,B,0,4.0,0,0.8889
gpqa_110,,0,,1,0.875
gpqa_113,A,0,4.0,0,0.625
gpqa_114,B,1,4.0,0,0.8889
gpqa_116,A,1,4.0,0,0.7778
gpqa_117,B,1,4.0,0,0.8889
gpqa_118,,0,,1,0.8889
gpqa_119,A,1,4.0,0,0.7778
gpqa_125,D,0,4.0,0,0.875
gpqa_127,D,0,4.0,0,0.7778
gpqa_129,D,0,4.0,0,0.7778
gpqa_131,D,0,4.0,0,0.8889
gpqa_134,C,1,4.0,0,0.8889
gpqa_135,D,1,4.0,0,0.875
gpqa_137,D,0,4.0,0,0.8889
gpqa_146,B,0,4.0,0,0.875
gpqa_148,D,1,4.0,0,0.8889
gpqa_149,D,1,4.0,0,0.8889
gpqa_156,D,1,4.0,0,0.875
gpqa_157,A,0,4.0,0,0.7778
gpqa_164,D,1,4.0,0,0.6667
gpqa_165,,0,,1,0.8889
gpqa_168,A,0,4.0,0,0.75
gpqa_169,A,0,4.0,0,0.875
gpqa_170,A,1,4.0,0,0.7778
gpqa_173,D,0,4.0,0,0.8889
gpqa_175,B,1,4.0,0,0.8889
gpqa_180,C,0,4.0,0,0.8571
gpqa_184,D,1,4.0,0,0.7778
gpqa_188,C,1,4.0,0,0.8889
