question_id,choice,answer,confidence,correct,difficulty,score,raw_response
gpqa_000,ANSWER,C,3,C,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_002,ANSWER,D,3,B,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_007,ANSWER,B,2,B,0.7778,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_009,ANSWER,C,2,B,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_010,DELEGATE,,2,C,0.8571,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_012,DELEGATE,,2,A,0.6667,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_013,ANSWER,B,2,B,0.6667,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_018,DELEGATE,,2,A,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_019,ANSWER,D,2,D,0.7778,0.65,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_022,ANSWER,B,2,B,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_023,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_025,ANSWER,B,2,B,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_026,ANSWER,A,3,A,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_028,ANSWER,A,3,A,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_035,ANSWER,C,2,C,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_040,DELEGATE,,2,A,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_042,ANSWER,C,2,A,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_046,ANSWER,A,3,A,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_049,DELEGATE,,2,C,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_052,ANSWER,B,2,B,0.875,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_053,ANSWER,C,2,C,0.875,0.65,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_054,ANSWER,A,3,A,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_055,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_057,ANSWER,D,3,C,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_059,DELEGATE,,2,A,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_061,DELEGATE,,2,A,0.7778,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_064,DELEGATE,,2,A,0.75,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_065,ANSWER,D,2,D,0.7778,0.65,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_069,DELEGATE,,2,D,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_073,ANSWER,D,2,C,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_074,ANSWER,A,3,A,0.4444,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_075,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_076,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_078,DELEGATE,,2,D,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_080,DELEGATE,,2,C,0.7778,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_082,ANSWER,C,2,B,0.875,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_083,DELEGATE,,2,B,0.8571,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_084,DELEGATE,,2,A,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_087,ANSWER,B,3,B,0.625,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_088,DELEGATE,,2,A,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_090,DELEGATE,,2,A,0.7778,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_094,DELEGATE,,2,B,0.7778,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_097,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_098,ANSWER,A,2,A,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 2}"
gpqa_099,ANSWER,B,2,C,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_100,ANSWER,A,3,A,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_101,DELEGATE,,2,C,0.625,0.6,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_102,ANSWER,B,2,C,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_103,DELEGATE,,2,C,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_104,DELEGATE,,2,B,0.7778,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_106,ANSWER,B,2,A,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_110,DELEGATE,,2,A,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_113,ANSWER,C,2,C,0.625,0.65,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_114,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_116,ANSWER,A,2,A,0.7778,0.65,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 2}"
gpqa_117,ANSWER,B,2,B,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_118,DELEGATE,,2,A,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_119,ANSWER,B,3,A,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_125,DELEGATE,,2,B,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_127,ANSWER,D,2,A,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_129,ANSWER,C,2,A,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_131,ANSWER,A,2,C,0.8889,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 2}"
gpqa_134,ANSWER,C,2,C,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_135,ANSWER,D,2,D,0.875,0.65,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_137,ANSWER,A,3,A,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_146,DELEGATE,,2,A,0.875,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_148,ANSWER,D,3,D,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_149,DELEGATE,,2,D,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_156,ANSWER,D,2,D,0.875,0.65,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_157,ANSWER,D,2,D,0.7778,0.65,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_164,DELEGATE,,2,D,0.6667,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_165,DELEGATE,,2,D,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_168,DELEGATE,,2,C,0.75,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_169,ANSWER,C,2,C,0.875,0.65,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
gpqa_170,ANSWER,B,2,A,0.7778,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_173,DELEGATE,,2,A,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_175,DELEGATE,,2,B,0.8889,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_180,DELEGATE,,2,B,0.8571,0.85,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_184,ANSWER,D,3,D,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_188,ANSWER,C,2,C,0.8889,0.65,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 2}"
