model,question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
claude-haiku-4-5-20251001,gpqa_000,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 8}
```","```json
{""answer"": ""C"", ""confidence"": 9}
```"
claude-haiku-4-5-20251001,gpqa_002,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 7}
```","```json
{""answer"": ""D"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_007,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 7}
```","```json
{""answer"": ""B"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_009,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 8}
```","```json
{""answer"": ""C"", ""confidence"": 9}
```"
claude-haiku-4-5-20251001,gpqa_010,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 7}
```","```json
{""answer"": ""C"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_012,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 6}
```","```json
{""answer"": ""A"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_013,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 7}
```","```json
{""answer"": ""B"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_018,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""answer"": ""B"", ""confidence"": 6}
```"
claude-haiku-4-5-20251001,gpqa_019,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 7}
```","```json
{""answer"": ""D"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_022,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""answer"": ""B"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_023,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""answer"": ""B"", ""confidence"": 6}
```"
claude-haiku-4-5-20251001,gpqa_025,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""answer"": ""B"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_026,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 8}
```","```json
{""answer"": ""A"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_028,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 7}
```","```json
{""answer"": ""B"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_035,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 6}
```","```json
{""answer"": ""C"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_040,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 6}
```","```json
{""answer"": ""A"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_042,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 6}
```","```json
{""answer"": ""C"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_046,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 8}
```","```json
{""answer"": ""A"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_049,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""answer"": ""C"", ""confidence"": 6}
```"
claude-haiku-4-5-20251001,gpqa_052,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""answer"": ""B"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_053,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 7}
```","```json
{""answer"": ""C"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_054,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 7}
```","```json
{""answer"": ""D"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_055,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""answer"": ""B"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_057,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 8}
```","```json
{""answer"": ""D"", ""confidence"": 9}
```"
claude-haiku-4-5-20251001,gpqa_059,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""answer"": ""B"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_061,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""answer"": ""A"", ""confidence"": 6}
```"
claude-haiku-4-5-20251001,gpqa_064,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""answer"": ""C"", ""confidence"": 6}
```"
claude-haiku-4-5-20251001,gpqa_065,D,D,0.0,0.0,1.0,"```json
{""answer"": ""D"", ""confidence"": 7}
```","```json
{""answer"": ""D"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_069,B,B,0.0,0.0,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""answer"": ""B"", ""confidence"": 7}
```"
claude-haiku-4-5-20251001,gpqa_073,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 7}
```","```json
{""answer"": ""A"", ""confidence"": 8}
```"
claude-haiku-4-5-20251001,gpqa_074,A,A,0.0,0.0,1.0,"```json
{""answer"": ""A"", ""confidence"": 8}
```","```json
{""answer"": ""A"", ""confidence"": 9}
```"
claude-haiku-4-5-20251001,gpqa_075,C,C,0.0,0.0,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""answer"": ""C"", ""confidence"": 6}
```"
