question_id,expert_answer,final_answer,final_confidence,changed,correct,score,raw_response_expert,raw_response_generalist
gpqa_000,C,C,4,False,True,0.85,"**Answer: C) \(10^{-4}\,\text{eV}\)**

To clearly resolve two energy levels, their separation must be larger than the **natural linewidth** caused by finite lifetime.

For a state with lifetime \(\tau\), the energy uncertainty is of order

\[
\Delta E \sim \frac{\hbar}{\tau}
\]

Given:

- \(\tau_1 = 10^{-9}\,\text{s}\)
- \(\tau_2 = 10^{-8}\,\text{s}\)

Using \(\hbar \approx 6.58\times 10^{-16}\,\text{eV·s}\),

\[
\Delta E_1 \approx \frac{6.58\times 10^{-16}}{10^{-9}} = 6.58\times 10^{-7}\,\text{","{""answer"":""C"",""confidence"":10}"
gpqa_002,A,B,4,True,True,1.0,"**Answer: A) -1.4**

State:
\[
|\psi\rangle=\frac{1}{2}|\uparrow\rangle+\frac{\sqrt3}{2}|\downarrow\rangle
\]
This is normalized since
\[
\left|\frac12\right|^2+\left|\frac{\sqrt3}{2}\right|^2=\frac14+\frac34=1.
\]

In the \(\sigma_z\) basis,
\[
|\uparrow\rangle=\begin{pmatrix}1\\0\end{pmatrix},\qquad
|\downarrow\rangle=\begin{pmatrix}0\\1\end{pmatrix}
\]
so
\[
|\psi\rangle=\begin{pmatrix}1/2\\ \sqrt3/2\end{pmatrix}.
\]

We need
\[
\langle 10\sigma_z+5\sigma_x\rangle
=10\langle \sigma_z\rangle+5","{""answer"":""B"",""confidence"":10}"
gpqa_007,B,B,4,False,True,0.85,"**Answer: B**

### Step 1: Interpret the single mutants
- **g2 = 0% resistance**  
  Knocking out **G2** completely abolishes resistance. That means **G2 is essential** for the resistance pathway.

- **g1 = 75% resistance**  
  Loss of **G1** causes only a mild reduction.

- **g3 = 50% resistance**  
  Loss of **G3** causes a stronger but still partial reduction.

So **G1** and **G3** each contribute partially, while **G2** is absolutely required.

---

### Step 2: Interpret the double mutants i","{""answer"":""B"",""confidence"":7}"
gpqa_009,B,B,4,False,True,0.85,"**Answer: B) c**

Density is
\[
\rho = \frac{M}{V}.
\]

Now compare each case.

### a) Earth-mass and Earth-radius planet
This is just Earth-like in bulk:
\[
\rho \approx 5.5 \,\text{g/cm}^3.
\]

### b) 2 Earth masses and density \(5.5\,\text{g/cm}^3\)
The density is explicitly given:
\[
\rho = 5.5 \,\text{g/cm}^3.
\]

### c) Same composition as Earth but 5 times more massive than Earth
For planets of the **same composition**, increasing mass compresses the interior more strongly due to self-gra","{""answer"":""B"",""confidence"":9}"
gpqa_010,C,C,4,False,True,0.85,"**Answer: C**

### Why C is the incorrect statement

SARS‑CoV‑2 **nsp14 ExoN** forms an active complex with **nsp10**, and this complex is involved in **proofreading** during viral RNA replication. However, statement **C** is incorrect for two reasons:

1. **It calls the process “mismatch repair,”** which is not the standard or accurate description here. In coronaviruses, nsp14 ExoN functions in **replication proofreading** by excising misincorporated nucleotides from nascent RNA, not in a canon","{""answer"":""C"",""confidence"":8}"
gpqa_012,A,A,4,False,True,0.85,"**Answer: A**

### Step 1: Hydrogenation of (R)-(+)-limonene
Limonene contains **two double bonds**:

- one **endocyclic** alkene in the cyclohexene ring,
- one **exocyclic isopropenyl** alkene.

Under **Pd/C, H\(_2\)**, with **1 equivalent of hydrogen consumed**, the **more reactive exocyclic isopropenyl double bond** is hydrogenated preferentially, while the ring double bond remains.

So product **1** is the **p-menth-1-ene** derivative:
- cyclohexene ring retained,
- isopropenyl converted to ","{""answer"":""A"",""confidence"":6}"
gpqa_013,B,B,4,False,True,0.85,"**Answer: B) At active promoters and enhancers**

### Reasoning

This is a classic **hyper-ChIPable / phantom peak** scenario.

#### Key observation
Peaks are seen after **PFA-only fixation**, but they **disappear when dual fixation (PFA + DSG)** is used.

That strongly suggests the original peaks were not robust, sequence-specific IKAROS binding events, but rather **artifactual ChIP enrichment** caused by chromatin state and fixation chemistry.

### Why this happens
- **PFA (formaldehyde)** mai","{""answer"":""B"",""confidence"":9}"
gpqa_018,D,A,4,True,True,1.0,"**Answer: D**

## Reasoning

We analyze both Michael additions separately.

---

## 1)  
### Substrate:
**methyl 2-oxocyclohexane-1-carboxylate**

This is a **β-keto ester**-type system (a cyclic 1,3-dicarbonyl equivalent), so under **NaOEt/THF** it forms the stabilized enolate at the carbon **between the ketone and ester**, i.e. **C-1**.

### Michael acceptor:
**2,4-dimethyl-1-(vinylsulfinyl)benzene**

This is a **vinyl sulfoxide**, an activated alkene that undergoes **conjugate (Michael) addit","{""answer"":""A"",""confidence"":9}"
gpqa_019,D,D,4,False,True,0.85,"**Answer: D) 1, 2, 4**

### Reasoning

The **impulse approximation** in nuclear physics treats the probe–nucleus interaction as if the external probe interacts with a **single nucleon** inside the nucleus, and that nucleon responds essentially as a **free nucleon**.

To get that approximation, the needed assumptions are:

---

### 1. The interaction current only interacts with individual nucleons.
Yes — this is fundamental.

This excludes:
- two-body exchange currents,
- meson-exchange currents,","{""answer"":""D"",""confidence"":9}"
gpqa_022,B,B,4,False,True,0.85,"**Answer: B**

### Step 1: Identify the substrate
The substrate is:

\[
\text{Ph–O–CH}_2\text{–C(CH}_3)_2\text{–CH=CH}_2
\]

i.e. an **allylic aryl ether** with a terminal alkene.

### Step 2: What does HBr do first?
In the absence of peroxides, **HBr adds electrophilically** to the alkene.

Protonation of the alkene occurs to generate the more favorable carbocation. From the terminal alkene, protonation gives a **secondary carbocation** at the internal alkene carbon:

\[
\text{Ph–O–CH}_2\text{–","{""answer"":""B"",""confidence"":8}"
