question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_002,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_007,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_009,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_010,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_012,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_013,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_018,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_019,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_022,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_023,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_025,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_026,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_028,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_035,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_040,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_042,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_046,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_049,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_052,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_053,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_054,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_055,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_057,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_059,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_061,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_064,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_065,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_069,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_073,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_074,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_075,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_076,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_078,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_080,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_082,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_083,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_084,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_087,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_088,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_090,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_094,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_097,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_098,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_099,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_100,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_101,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_102,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_103,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_104,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_106,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_110,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_113,C,C,0.0,0.0,1.0,"```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_114,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
gpqa_116,A,A,0.0,0.0,1.0,"```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_117,B,B,0.0,0.0,1.0,"```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_118,D,D,0.0,0.0,1.0,"```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```","```json
{
  ""answer"": ""D"",
  ""confidence"": 5
}
```"
