question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.98}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_002,A,A,False,False,False,0.1,"{""answer"":""A"",""confidence"":0.99}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_007,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.81}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_009,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.86}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_010,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.68}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_012,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.57}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_013,A,A,False,False,False,0.1,"{""answer"":""A"",""confidence"":0.84}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_018,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.74}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_019,D,D,False,True,True,0.65,"{""answer"":""D"",""confidence"":0.93}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_022,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.69}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_023,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.52}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_025,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.88}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_026,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.97}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_028,B,B,False,False,False,0.1,"{""answer"":""B"",""confidence"":0.91}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_035,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.72}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_040,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.96}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_042,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.66}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_046,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.97}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_049,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.9}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_052,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.83}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_053,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.84}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_054,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.98}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_055,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.44}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_057,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.99}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_059,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.95}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_061,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.61}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_064,C,B,True,False,False,0.1,"{""answer"":""C"",""confidence"":0.39}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":0.33}"
gpqa_065,D,D,False,True,True,0.65,"{""answer"":""D"",""confidence"":0.89}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_069,B,B,False,False,False,0.1,"{""answer"":""B"",""confidence"":0.76}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_073,A,A,False,False,False,0.1,"{""answer"":""A"",""confidence"":0.94}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_074,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.98}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_075,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.96}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_076,C,D,True,False,False,0.1,"{""answer"":""C"",""confidence"":0.31}","{""keep_answer"":false,""revised_answer"":""D"",""revised_confidence"":0.28}"
gpqa_078,D,D,False,True,True,0.65,"{""answer"":""D"",""confidence"":0.86}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_080,C,C,False,True,True,0.65,"{""answer"":""C"",""confidence"":0.47}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_082,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.97}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_083,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.87}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_084,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.77}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_087,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.98}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_088,C,B,True,False,False,0.1,"{""answer"":""C"",""confidence"":0.34}","{""keep_answer"":false,""revised_answer"":""B"",""revised_confidence"":0.3}"
gpqa_090,A,A,False,True,True,0.65,"{""answer"":""A"",""confidence"":0.55}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_094,D,D,False,False,False,0.1,"{""answer"":""D"",""confidence"":0.58}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_097,B,B,False,True,True,0.65,"{""answer"":""B"",""confidence"":0.67}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_098,C,C,False,False,False,0.1,"{""answer"":""C"",""confidence"":0.71}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
gpqa_099,B,B,False,False,False,0.1,"{""answer"":""B"",""confidence"":0.97}","{""keep_answer"":true,""revised_answer"":null,""revised_confidence"":null}"
