question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 5, ""B"": 10, ""C"": 70, ""D"": 15, ""most_likely"": ""C""}
```"
gpqa_002,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 5, ""B"": 10, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_007,0.5959,0.7778,0.1819,True,0.8545,"```json
{""A"": 5, ""B"": 75, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_009,0.5959,0.8889,0.293,False,0.5656,"```json
{""A"": 5, ""B"": 10, ""C"": 75, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_010,0.7394,0.8571,0.1177,True,0.9059,"```json
{""A"": 10, ""B"": 15, ""C"": 65, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_012,0.7394,0.6667,0.0727,True,0.9418,"```json
{""A"": 65, ""B"": 10, ""C"": 15, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_013,0.5959,0.6667,0.0708,True,0.9433,"```json
{""A"": 10, ""B"": 75, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_018,0.7394,0.875,0.1356,False,0.6916,"```json
{""A"": 10, ""B"": 65, ""C"": 15, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_019,0.7394,0.7778,0.0384,True,0.9693,"```json
{""A"": 10, ""B"": 10, ""C"": 15, ""D"": 65, ""most_likely"": ""D""}
```"
gpqa_022,0.6784,0.8889,0.2105,True,0.8316,"```json
{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_023,0.7394,0.8889,0.1495,False,0.6804,"```json
{""A"": 15, ""B"": 10, ""C"": 10, ""D"": 65, ""most_likely"": ""D""}
```"
gpqa_025,0.7394,0.8889,0.1495,True,0.8804,"```json
{""A"": 15, ""B"": 65, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_026,0.5959,0.8889,0.293,True,0.7656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_028,0.7394,0.7778,0.0384,True,0.9693,"```json
{""A"": 65, ""B"": 15, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_035,0.7394,0.8889,0.1495,True,0.8804,"```json
{""A"": 10, ""B"": 10, ""C"": 65, ""D"": 15, ""most_likely"": ""C""}
```"
gpqa_040,0.7394,0.875,0.1356,True,0.8916,"```json
{""A"": 65, ""B"": 15, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_042,0.7394,0.8889,0.1495,False,0.6804,"```json
{""A"": 15, ""B"": 10, ""C"": 65, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_046,0.5959,0.8889,0.293,True,0.7656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
