question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_002,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_007,0.5959,0.7778,0.1819,True,0.8545,"

{""A"": 10, ""B"": 75, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}"
gpqa_009,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_010,0.4238,0.8571,0.4333,True,0.6534,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_012,0.4238,0.6667,0.2429,False,0.6057,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_013,0.4238,0.6667,0.2429,False,0.6057,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_018,0.4238,0.875,0.4512,False,0.439,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_019,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_022,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_023,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_025,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_026,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_028,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_035,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_040,0.4238,0.875,0.4512,True,0.639,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_042,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_046,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_049,0.4238,0.875,0.4512,True,0.639,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_052,0.4238,0.875,0.4512,True,0.639,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_053,0.4238,0.875,0.4512,True,0.639,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_054,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_055,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_057,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_059,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_061,0.4238,0.7778,0.354,False,0.5168,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_064,0.4238,0.75,0.3262,False,0.539,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_065,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_069,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_073,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_074,0.4238,0.4444,0.0206,True,0.9835,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_075,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_076,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_078,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_080,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
gpqa_082,0.4238,0.875,0.4512,True,0.639,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_083,0.4238,0.8571,0.4333,True,0.6534,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_084,0.4238,0.8889,0.4651,True,0.6279,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_087,0.4238,0.625,0.2012,True,0.839,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_088,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_090,0.4238,0.7778,0.354,False,0.5168,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_094,0.4238,0.7778,0.354,False,0.5168,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_097,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_098,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_099,0.4238,0.8889,0.4651,False,0.4279,"

{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_100,0.4238,0.7778,0.354,True,0.7168,"

{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_101,0.4238,0.625,0.2012,True,0.839,"

{""A"": 5, ""B"": 5, ""C"": 85, ""D"": 5, ""most_likely"": ""C""}"
