question_id,answer,correct,confidence,delegated,difficulty
gpqa_000,A,0,4.0,0,0.7778
gpqa_002,A,0,4.0,0,0.7778
gpqa_007,B,1,4.0,0,0.7778
gpqa_009,D,0,4.0,0,0.8889
gpqa_010,A,0,4.0,0,0.8571
gpqa_012,A,1,4.0,0,0.6667
gpqa_013,B,1,4.0,0,0.6667
gpqa_018,A,1,4.0,0,0.875
gpqa_019,D,1,4.0,0,0.7778
gpqa_022,A,0,4.0,0,0.8889
gpqa_023,A,0,4.0,0,0.8889
gpqa_025,C,0,4.0,0,0.8889
gpqa_026,B,0,4.0,0,0.8889
gpqa_028,A,1,4.0,0,0.7778
gpqa_035,C,1,4.0,0,0.8889
gpqa_040,B,0,4.0,0,0.875
gpqa_042,A,1,4.0,0,0.8889
gpqa_046,B,0,4.0,0,0.8889
gpqa_049,B,0,4.0,0,0.875
gpqa_052,A,0,4.0,0,0.875
gpqa_053,A,0,4.0,0,0.875
gpqa_054,A,1,4.0,0,0.7778
gpqa_055,A,0,4.0,0,0.8889
gpqa_057,D,0,4.0,0,0.8889
gpqa_059,D,0,4.0,0,0.8889
gpqa_061,A,1,4.0,0,0.7778
gpqa_064,B,0,4.0,0,0.75
gpqa_065,B,0,4.0,0,0.7778
gpqa_069,D,1,4.0,0,0.8889
gpqa_073,A,0,4.0,0,0.8889
gpqa_074,A,1,4.0,0,0.4444
gpqa_075,D,0,4.0,0,0.8889
gpqa_076,C,0,4.0,0,0.8889
gpqa_078,C,0,4.0,0,0.8889
gpqa_080,A,0,4.0,0,0.7778
gpqa_082,B,1,4.0,0,0.875
gpqa_083,B,1,4.0,0,0.8571
gpqa_084,A,1,4.0,0,0.8889
gpqa_087,B,1,4.0,0,0.625
gpqa_088,A,1,4.0,0,0.8889
gpqa_090,B,0,4.0,0,0.7778
gpqa_094,B,1,4.0,0,0.7778
gpqa_097,A,0,4.0,0,0.8889
gpqa_098,B,0,4.0,0,0.8889
gpqa_099,A,0,4.0,0,0.8889
gpqa_100,C,0,4.0,0,0.7778
gpqa_101,C,1,4.0,0,0.625
gpqa_102,C,1,4.0,0,0.7778
gpqa_103,B,0,4.0,0,0.8889
gpqa_104,A,0,4.0,0,0.7778
gpqa_106,B,0,4.0,0,0.8889
gpqa_110,A,1,4.0,0,0.875
gpqa_113,C,1,4.0,0,0.625
gpqa_114,A,0,4.0,0,0.8889
gpqa_116,D,0,4.0,0,0.7778
gpqa_117,B,1,4.0,0,0.8889
gpqa_118,A,1,4.0,0,0.8889
gpqa_119,B,0,4.0,0,0.7778
gpqa_125,D,0,4.0,0,0.875
gpqa_127,C,0,4.0,0,0.7778
gpqa_129,A,1,4.0,0,0.7778
gpqa_131,D,0,4.0,0,0.8889
gpqa_134,A,0,4.0,0,0.8889
gpqa_135,B,0,4.0,0,0.875
gpqa_137,D,0,4.0,0,0.8889
gpqa_146,A,1,4.0,0,0.875
gpqa_148,D,1,4.0,0,0.8889
gpqa_149,A,0,4.0,0,0.8889
gpqa_156,C,0,4.0,0,0.875
gpqa_157,C,0,4.0,0,0.7778
gpqa_164,D,1,4.0,0,0.6667
gpqa_165,D,1,4.0,0,0.8889
gpqa_168,A,0,4.0,0,0.75
gpqa_169,A,0,4.0,0,0.875
gpqa_170,A,1,4.0,0,0.7778
gpqa_173,A,1,4.0,0,0.8889
gpqa_175,B,1,4.0,0,0.8889
gpqa_180,A,0,4.0,0,0.8571
gpqa_184,B,0,4.0,0,0.7778
gpqa_188,A,0,4.0,0,0.8889
