question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_002,0.7855,0.7778,0.0077,False,0.7939,"```json
{""A"": 60, ""B"": 20, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_007,0.511,0.7778,0.2668,False,0.5865,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_009,0.7452,0.8889,0.1437,False,0.6851,"```json
{""A"": 5, ""B"": 25, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_010,0.9855,0.8571,0.1284,False,0.6973,"```json
{""A"": 30, ""B"": 20, ""C"": 30, ""D"": 20, ""most_likely"": ""A""}
```"
gpqa_012,0.7394,0.6667,0.0727,True,0.9418,"```json
{""A"": 65, ""B"": 15, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_013,0.7855,0.6667,0.1188,True,0.905,"```json
{""A"": 20, ""B"": 60, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_018,0.4238,0.875,0.4512,True,0.639,"```json
{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_019,0.2845,0.7778,0.4933,False,0.4054,"```json
{""A"": 90, ""B"": 5, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_022,0.5959,0.8889,0.293,False,0.5656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_023,0.4238,0.8889,0.4651,False,0.4279,"```json
{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_025,0.2845,0.8889,0.6044,False,0.3165,"```json
{""A"": 90, ""B"": 5, ""C"": 5, ""D"": 0, ""most_likely"": ""A""}
```"
gpqa_026,0.4238,0.8889,0.4651,False,0.4279,"```json
{""A"": 5, ""B"": 85, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_028,0.5959,0.7778,0.1819,True,0.8545,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_035,0.511,0.8889,0.3779,False,0.4977,"```json
{""A"": 80, ""B"": 5, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_040,0.7855,0.875,0.0895,False,0.7284,"```json
{""A"": 20, ""B"": 60, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_042,0.7394,0.8889,0.1495,True,0.8804,"```json
{""A"": 65, ""B"": 15, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_046,0.4238,0.8889,0.4651,True,0.6279,"```json
{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_049,0.511,0.875,0.364,False,0.5088,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_052,0.5959,0.875,0.2791,False,0.5767,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_053,0.4238,0.875,0.4512,False,0.439,"```json
{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_054,0.6784,0.7778,0.0994,True,0.9205,"```json
{""A"": 70, ""B"": 10, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_055,0.511,0.8889,0.3779,False,0.4977,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_057,0.6784,0.8889,0.2105,True,0.8316,"```json
{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_059,0.577,0.8889,0.3119,True,0.7505,"```json
{""A"": 75, ""B"": 15, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_061,0.511,0.7778,0.2668,True,0.7865,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_064,0.6784,0.75,0.0716,True,0.9427,"```json
{""A"": 70, ""B"": 10, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_065,0.6784,0.7778,0.0994,False,0.7205,"```json
{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_069,0.8805,0.8889,0.0084,False,0.7933,"```json
{""A"": 20, ""B"": 20, ""C"": 50, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_073,0.7394,0.8889,0.1495,False,0.6804,"```json
{""A"": 65, ""B"": 15, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_074,0.4238,0.4444,0.0206,True,0.9835,"```json
{""A"": 85, ""B"": 5, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_075,0.6284,0.8889,0.2605,False,0.5916,"```json
{""A"": 5, ""B"": 5, ""C"": 70, ""D"": 20, ""most_likely"": ""C""}
```"
gpqa_076,0.5959,0.8889,0.293,False,0.5656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_078,0.5959,0.8889,0.293,False,0.5656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_080,0.511,0.7778,0.2668,False,0.5865,"```json
{""A"": 80, ""B"": 5, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_082,0.5959,0.875,0.2791,False,0.5767,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_083,0.7855,0.8571,0.0716,True,0.9427,"```json
{""A"": 20, ""B"": 60, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_084,0.6784,0.8889,0.2105,True,0.8316,"```json
{""A"": 70, ""B"": 10, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}
```"
gpqa_087,0.5959,0.625,0.0291,True,0.9767,"```json
{""A"": 10, ""B"": 75, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_088,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_090,0.5959,0.7778,0.1819,True,0.8545,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_094,0.511,0.7778,0.2668,False,0.5865,"```json
{""A"": 80, ""B"": 10, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_097,0.5959,0.8889,0.293,False,0.5656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_098,0.5959,0.8889,0.293,True,0.7656,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_099,0.6784,0.8889,0.2105,False,0.6316,"```json
{""A"": 10, ""B"": 70, ""C"": 10, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_100,0.511,0.7778,0.2668,True,0.7865,"```json
{""A"": 80, ""B"": 5, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_101,0.7855,0.625,0.1605,True,0.8716,"```json
{""A"": 20, ""B"": 10, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}
```"
gpqa_102,0.5959,0.7778,0.1819,False,0.6545,"```json
{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
