question_id,is_signal,said_yes,confidence,judgment_correct,raw_response
gpqa_000,True,False,2,False,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_000,False,True,3,False,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_002,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_002,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_007,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_007,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_009,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_009,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_010,True,False,2,False,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_010,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_012,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_012,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_013,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_013,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_018,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_018,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_019,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_019,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_022,True,False,2,False,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_022,False,True,3,False,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_023,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_023,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_025,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_025,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_026,True,False,2,False,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_026,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_028,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_028,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_035,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_035,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_040,True,False,2,False,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_040,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_042,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_042,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_046,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_046,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_049,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_049,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_052,True,False,2,False,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_052,False,True,3,False,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_053,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_053,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_054,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_054,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_055,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
gpqa_055,False,False,2,True,"```json
{""judgment"": ""no"", ""confidence"": 2}
```"
gpqa_057,True,True,3,True,"```json
{""judgment"": ""yes"", ""confidence"": 3}
```"
