question_id,initial_answer,final_answer,revised,initial_correct,final_correct,score,raw_response_initial,raw_response_revision
gpqa_000,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 8}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_002,D,A,True,False,False,0.1,"```json
{""answer"": ""D"", ""confidence"": 7}
```","```json
{""keep_answer"": false, ""revised_answer"": ""A"", ""revised_confidence"": 8}
```"
gpqa_007,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_009,C,B,True,False,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 7}
```","```json
{""keep_answer"": false, ""revised_answer"": ""B"", ""revised_confidence"": 8}
```"
gpqa_010,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_012,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_013,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 7}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_018,B,B,False,False,False,0.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_019,D,D,False,True,True,1.0,"```json
{""answer"": ""D"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_022,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 7}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_023,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_025,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_026,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 8}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_028,B,B,False,False,False,0.0,"```json
{""answer"": ""B"", ""confidence"": 7}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_035,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 7}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_040,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_042,C,C,False,False,False,0.0,"```json
{""answer"": ""C"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_046,A,A,False,True,True,1.0,"```json
{""answer"": ""A"", ""confidence"": 8}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_049,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 5}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_052,B,B,False,True,True,1.0,"```json
{""answer"": ""B"", ""confidence"": 6}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
gpqa_053,C,C,False,True,True,1.0,"```json
{""answer"": ""C"", ""confidence"": 7}
```","```json
{""keep_answer"": true, ""revised_answer"": null, ""revised_confidence"": null}
```"
