question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_002,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_007,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_009,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 5, ""B"": 70, ""C"": 15, ""D"": 10, ""most_likely"": ""B""}
```"
gpqa_010,0.6595,0.8571,0.1976,True,0.8419,"```json
{""A"": 10, ""B"": 15, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_012,0.6595,0.6667,0.0072,True,0.9943,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_013,0.6595,0.6667,0.0072,True,0.9943,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_018,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_019,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 15, ""B"": 10, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_022,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_023,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_025,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_026,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_028,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_035,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_040,0.7006,0.875,0.1744,False,0.6605,"```json
{""A"": 15, ""B"": 15, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_042,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_046,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_049,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_052,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_053,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_054,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_055,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_057,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 5, ""B"": 10, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_059,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_061,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_064,0.6595,0.75,0.0905,False,0.7276,"```json
{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_065,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 10, ""B"": 5, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_069,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_073,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_074,0.6595,0.4444,0.2151,False,0.6279,"```json
{""A"": 10, ""B"": 5, ""C"": 70, ""D"": 15, ""most_likely"": ""C""}
```"
gpqa_075,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 10, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_076,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_078,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_080,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_082,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_083,0.6595,0.8571,0.1976,False,0.6419,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
