model,ece,deleg_auc,cohort,ece_kind
deepseek-r1-0528,0.3333333333333333,,Kaggle,answered_conditional
glm-5,0.0,,Kaggle,answered_conditional
gemma-4-31b-it,0.0416666666666666,,Kaggle,answered_conditional
gemini-3.1-pro-preview,0.0572916666666666,0.763157894736842,Kaggle,answered_conditional
gemma-4-26b-a4b-it,0.1807909604519774,,Kaggle,answered_conditional
qwen3-next-80b-a3b-thinking,0.2222222222222222,,Kaggle,answered_conditional
deepseek-v3.2,0.2666666666666666,0.7857142857142857,Kaggle,answered_conditional
claude-opus-4-6-default,0.0694444444444444,0.6111111111111112,Kaggle,answered_conditional
claude-opus-4-1-20250805,0.0529100529100528,0.7236842105263158,Kaggle,answered_conditional
claude-haiku-4-5-20251001,0.2424242424242423,0.86,Kaggle,answered_conditional
gpt-5.4-2026-03-05,0.1746031746031747,0.7073170731707317,Kaggle,answered_conditional
qwen3-235b-a22b-instruct-2507,0.4153846153846153,0.6744186046511628,Kaggle,answered_conditional
gpt-oss-20b,0.2827004219409282,0.5161290322580645,Kaggle,answered_conditional
qwen3-coder-480b-a35b-instruct,0.1541666666666666,,Kaggle,answered_conditional
gpt-5.4-mini-2026-03-17,0.4249999999999999,,Kaggle,answered_conditional
gemini-2.0-flash-lite-001,0.2179487179487176,0.525,Kaggle,answered_conditional
gemma-3-27b-it,0.5677083333333334,0.6538461538461539,Kaggle,answered_conditional
gpt-5.4-nano-2026-03-17,0.1466666666666665,0.7459016393442623,Kaggle,answered_conditional
qwen3-next-80b-a3b-instruct,0.55,,Kaggle,answered_conditional
gemma-3-12b-it,0.6,,Kaggle,answered_conditional
gemma-3-4b-it,0.6291666666666667,,Kaggle,answered_conditional
gemma-3-1b-it,0.3166666666666667,,Kaggle,answered_conditional
gemini-2.5-flash,0.0238095238095239,,Kaggle,answered_conditional
