question_id,ans_neutral,ans_affective,conf_shift,answer_flip,score,raw_response_neutral,raw_response_affective
gpqa_000,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_002,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_007,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_009,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_010,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 4}"
gpqa_012,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_013,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_018,D,A,0.0,1.0,0.5714,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 4}"
gpqa_019,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_022,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_023,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_025,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_026,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_028,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_035,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_040,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_042,B,B,0.0,0.0,1.0,"{""answer"": ""B"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 4}"
gpqa_046,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 5}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_049,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_052,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_053,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_054,A,A,0.0,0.0,1.0,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_055,A,B,0.0,1.0,0.5714,"{""answer"": ""A"", ""confidence"": 4}","{""answer"": ""B"", ""confidence"": 5}"
gpqa_057,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_059,C,A,0.0,1.0,0.5714,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""A"", ""confidence"": 5}"
gpqa_061,D,D,0.3333333333333333,0.0,0.8095,"{""answer"": ""D"", ""confidence"": 3}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_064,D,D,0.3333333333333333,0.0,0.8095,"{""answer"": ""D"", ""confidence"": 3}","{""answer"": ""D"", ""confidence"": 4}"
gpqa_065,D,D,0.0,0.0,1.0,"{""answer"": ""D"", ""confidence"": 4}","{""answer"": ""D"", ""confidence"": 5}"
gpqa_069,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
gpqa_073,C,C,0.0,0.0,1.0,"{""answer"": ""C"", ""confidence"": 4}","{""answer"": ""C"", ""confidence"": 5}"
