question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.6595,0.7778,0.1183,False,0.7054,"{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_002,0.6595,0.7778,0.1183,False,0.7054,"{""A"": 5, ""B"": 10, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}"
gpqa_007,0.7452,0.7778,0.0326,False,0.7739,"{""A"": 60, ""B"": 25, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_009,0.7452,0.8889,0.1437,False,0.6851,"{""A"": 5, ""B"": 10, ""C"": 25, ""D"": 60, ""most_likely"": ""D""}"
gpqa_010,0.7855,0.8571,0.0716,False,0.7427,"{""A"": 10, ""B"": 60, ""C"": 20, ""D"": 10, ""most_likely"": ""B""}"
gpqa_012,0.8427,0.6667,0.176,False,0.6592,"{""A"": 30, ""B"": 10, ""C"": 50, ""D"": 10, ""most_likely"": ""C""}"
gpqa_013,0.6595,0.6667,0.0072,True,0.9943,"{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_018,0.6595,0.875,0.2155,False,0.6276,"{""A"": 10, ""B"": 70, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_019,0.7855,0.7778,0.0077,True,0.9939,"{""A"": 10, ""B"": 20, ""C"": 10, ""D"": 60, ""most_likely"": ""D""}"
gpqa_022,0.7452,0.8889,0.1437,True,0.8851,"{""A"": 5, ""B"": 60, ""C"": 25, ""D"": 10, ""most_likely"": ""B""}"
gpqa_023,0.7855,0.8889,0.1034,False,0.7173,"{""A"": 10, ""B"": 20, ""C"": 10, ""D"": 60, ""most_likely"": ""D""}"
gpqa_025,0.7855,0.8889,0.1034,True,0.9173,"{""A"": 10, ""B"": 60, ""C"": 20, ""D"": 10, ""most_likely"": ""B""}"
gpqa_026,0.6784,0.8889,0.2105,True,0.8316,"{""A"": 70, ""B"": 10, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}"
gpqa_028,0.7452,0.7778,0.0326,False,0.7739,"{""A"": 25, ""B"": 60, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}"
gpqa_035,0.7855,0.8889,0.1034,True,0.9173,"{""A"": 10, ""B"": 20, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}"
gpqa_040,0.7452,0.875,0.1298,True,0.8962,"{""A"": 60, ""B"": 10, ""C"": 5, ""D"": 25, ""most_likely"": ""A""}"
gpqa_042,0.7855,0.8889,0.1034,False,0.7173,"{""A"": 10, ""B"": 60, ""C"": 20, ""D"": 10, ""most_likely"": ""B""}"
gpqa_046,0.6595,0.8889,0.2294,True,0.8165,"{""A"": 70, ""B"": 5, ""C"": 10, ""D"": 15, ""most_likely"": ""A""}"
gpqa_049,0.6784,0.875,0.1966,True,0.8427,"{""A"": 10, ""B"": 10, ""C"": 70, ""D"": 10, ""most_likely"": ""C""}"
gpqa_052,0.6284,0.875,0.2466,True,0.8027,"{""A"": 20, ""B"": 70, ""C"": 5, ""D"": 5, ""most_likely"": ""B""}"
gpqa_053,0.7855,0.875,0.0895,True,0.9284,"{""A"": 10, ""B"": 20, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}"
gpqa_054,0.6977,0.7778,0.0801,True,0.9359,"{""A"": 60, ""B"": 30, ""C"": 5, ""D"": 5, ""most_likely"": ""A""}"
gpqa_055,0.6595,0.8889,0.2294,True,0.8165,"{""A"": 5, ""B"": 70, ""C"": 15, ""D"": 10, ""most_likely"": ""B""}"
gpqa_057,0.7977,0.8889,0.0912,True,0.9271,"{""A"": 10, ""B"": 15, ""C"": 60, ""D"": 15, ""most_likely"": ""C""}"
gpqa_059,0.7083,0.8889,0.1806,True,0.8555,"{""A"": 65, ""B"": 10, ""C"": 20, ""D"": 5, ""most_likely"": ""A""}"
gpqa_061,0.7452,0.7778,0.0326,True,0.9739,"{""A"": 60, ""B"": 5, ""C"": 10, ""D"": 25, ""most_likely"": ""A""}"
gpqa_064,0.7855,0.75,0.0355,False,0.7716,"{""A"": 10, ""B"": 20, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}"
gpqa_065,0.7855,0.7778,0.0077,True,0.9939,"{""A"": 10, ""B"": 20, ""C"": 10, ""D"": 60, ""most_likely"": ""D""}"
gpqa_069,0.7452,0.8889,0.1437,False,0.6851,"{""A"": 10, ""B"": 60, ""C"": 5, ""D"": 25, ""most_likely"": ""B""}"
gpqa_073,0.7394,0.8889,0.1495,False,0.6804,"{""A"": 65, ""B"": 10, ""C"": 15, ""D"": 10, ""most_likely"": ""A""}"
gpqa_074,0.6595,0.4444,0.2151,True,0.8279,"{""A"": 70, ""B"": 5, ""C"": 15, ""D"": 10, ""most_likely"": ""A""}"
gpqa_075,0.7855,0.8889,0.1034,False,0.7173,"{""A"": 10, ""B"": 20, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}"
gpqa_076,0.7855,0.8889,0.1034,False,0.7173,"{""A"": 10, ""B"": 20, ""C"": 10, ""D"": 60, ""most_likely"": ""D""}"
gpqa_078,0.7394,0.8889,0.1495,True,0.8804,"{""A"": 10, ""B"": 10, ""C"": 15, ""D"": 65, ""most_likely"": ""D""}"
gpqa_080,0.7452,0.7778,0.0326,False,0.7739,"{""A"": 60, ""B"": 10, ""C"": 25, ""D"": 5, ""most_likely"": ""A""}"
gpqa_082,0.7083,0.875,0.1667,True,0.8667,"{""A"": 10, ""B"": 65, ""C"": 20, ""D"": 5, ""most_likely"": ""B""}"
gpqa_083,0.7666,0.8571,0.0905,True,0.9276,"{""A"": 20, ""B"": 60, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_084,0.7394,0.8889,0.1495,False,0.6804,"{""A"": 10, ""B"": 15, ""C"": 65, ""D"": 10, ""most_likely"": ""C""}"
gpqa_087,0.7855,0.625,0.1605,True,0.8716,"{""A"": 10, ""B"": 60, ""C"": 10, ""D"": 20, ""most_likely"": ""B""}"
gpqa_088,0.7855,0.8889,0.1034,False,0.7173,"{""A"": 10, ""B"": 60, ""C"": 20, ""D"": 10, ""most_likely"": ""B""}"
gpqa_090,0.7855,0.7778,0.0077,False,0.7939,"{""A"": 10, ""B"": 20, ""C"": 60, ""D"": 10, ""most_likely"": ""C""}"
