question_id,choice,answer,score,raw_response
gpqa_000,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_002,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_007,ANSWER,B,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_009,ANSWER,B,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_010,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_012,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_013,ANSWER,C,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_018,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_019,ANSWER,D,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_022,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_023,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_025,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_026,ANSWER,B,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_028,ANSWER,A,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_035,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_040,ANSWER,A,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_042,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_046,ANSWER,A,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_049,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_052,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_053,ANSWER,A,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_054,ANSWER,A,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_055,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
