question_id,choice,answer,score,raw_response
gpqa_000,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_002,ANSWER,A,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_007,ANSWER,B,0.65,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 2}"
gpqa_009,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_010,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_012,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_013,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_018,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_019,ANSWER,D,0.65,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 2}"
gpqa_022,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_023,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_025,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_026,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_028,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_035,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_040,ANSWER,A,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}"
gpqa_042,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_046,ANSWER,A,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}"
gpqa_049,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_052,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_053,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_054,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_055,ANSWER,A,0.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_057,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_059,ANSWER,C,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_061,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_064,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_065,ANSWER,D,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_069,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_073,ANSWER,B,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}"
gpqa_074,DELEGATE,,0.2,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_075,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_076,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_078,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_080,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_082,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_083,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_084,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_087,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_088,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_090,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_094,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_097,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_098,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_099,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_100,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_101,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_102,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_103,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_104,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_106,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_110,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_113,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_114,ANSWER,B,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_116,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_117,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_118,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_119,ANSWER,B,0.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}"
gpqa_125,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_127,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_129,ANSWER,C,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_131,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_134,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_135,ANSWER,D,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}"
gpqa_137,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_146,ANSWER,C,0.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_148,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_149,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_156,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_157,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_164,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_165,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_168,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
gpqa_169,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}"
gpqa_170,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_173,ANSWER,D,0.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}"
gpqa_175,ANSWER,B,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}"
gpqa_180,DELEGATE,,0.9,"{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_184,ANSWER,D,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}"
gpqa_188,ANSWER,C,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}"
