model,n_scheduled,n_answered,delegation_rate,accuracy_answered,ece_4bin,deleg_auc_vs_hardness,deleg_auc_vs_own_err,ece_rank_original,auc_hardness_rank_original,ece_rank_primary,auc_ownerr_rank_primary,exclusion_reason
glm-5,5,5,0.0,1.0,0.0,,,,,,,degenerate_deleg=0.0|n_answered=5<20|no_hardness_auc|no_ownerr_auc
gemini-2.5-flash,70,70,0.0,0.4142857142857143,0.0238095238095239,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
gemma-4-31b-it,32,32,0.0,0.875,0.0416666666666666,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
claude-opus-4-1-20250805,80,63,0.2125,0.6666666666666666,0.0529100529100528,0.5003223726627982,0.7236842105263158,1.0,4.0,1.0,5.0,
gemini-3.1-pro-preview,74,64,0.1351351351351351,0.859375,0.0572916666666666,0.4174242424242423,0.763157894736842,2.0,11.0,2.0,3.0,
claude-opus-4-6-default,26,24,0.0769230769230769,0.7083333333333334,0.0694444444444444,0.48125,0.6111111111111112,3.0,7.0,3.0,9.0,
gpt-5.4-nano-2026-03-17,80,50,0.375,0.38,0.1466666666666665,0.5354609929078015,0.7459016393442623,4.0,2.0,4.0,4.0,
qwen3-coder-480b-a35b-instruct,80,80,0.0,0.5375,0.1541666666666666,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
gpt-5.4-2026-03-05,80,63,0.2125,0.6190476190476191,0.1746031746031747,0.4745325596389426,0.7073170731707317,5.0,8.0,5.0,6.0,
gemma-4-26b-a4b-it,59,59,0.0,0.8305084745762712,0.1807909604519774,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
gemini-2.0-flash-lite-001,80,78,0.025,0.5128205128205128,0.2179487179487176,0.4954867827208252,0.525,6.0,5.0,6.0,10.0,
qwen3-next-80b-a3b-thinking,9,9,0.0,0.7777777777777778,0.2222222222222222,,,,,,,degenerate_deleg=0.0|n_answered=9<20|no_hardness_auc|no_ownerr_auc
claude-haiku-4-5-20251001,80,44,0.45,0.6818181818181818,0.2424242424242423,0.5477111540941328,0.86,7.0,1.0,7.0,1.0,
deepseek-v3.2,19,15,0.2105263157894736,0.8,0.2666666666666666,0.4659090909090909,0.7857142857142857,8.0,9.0,8.0,2.0,n_answered=15<20
gpt-oss-20b,80,79,0.0125,0.620253164556962,0.2827004219409282,0.4848484848484848,0.5161290322580645,9.0,6.0,9.0,11.0,
gemma-3-1b-it,80,80,0.0,0.35,0.3166666666666667,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
deepseek-r1-0528,2,2,0.0,1.0,0.3333333333333333,,,,,,,degenerate_deleg=0.0|n_answered=2<20|no_hardness_auc|no_ownerr_auc
qwen3-235b-a22b-instruct-2507,80,65,0.1875,0.5692307692307692,0.4153846153846153,0.5048355899419729,0.6744186046511628,10.0,3.0,10.0,7.0,
gpt-5.4-mini-2026-03-17,80,80,0.0,0.5375,0.4249999999999999,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
qwen3-next-80b-a3b-instruct,80,80,0.0,0.45,0.55,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
gemma-3-27b-it,80,64,0.2,0.4375,0.5677083333333334,0.4638942617666022,0.6538461538461539,11.0,10.0,11.0,8.0,
gemma-3-12b-it,80,80,0.0,0.4,0.6,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
gemma-3-4b-it,80,80,0.0,0.3625,0.6291666666666667,,,,,,,degenerate_deleg=0.0|no_hardness_auc|no_ownerr_auc
