question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_000,0.3738,0.7778,0.404,True,0.6768,"{""A"": 10, ""B"": 5, ""C"": 85, ""D"": 0, ""most_likely"": ""C""}"
gpqa_002,0.4099,0.7778,0.3679,False,0.5057,"{""A"": 85, ""B"": 2, ""C"": 8, ""D"": 5, ""most_likely"": ""A""}"
gpqa_007,0.5959,0.7778,0.1819,False,0.6545,"{""A"": 75, ""B"": 10, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}"
gpqa_009,0.3106,0.8889,0.5783,True,0.5374,"{""A"": 2, ""B"": 90, ""C"": 4, ""D"": 4, ""most_likely"": ""B""}"
gpqa_010,0.9075,0.8571,0.0504,True,0.9597,"{""A"": 10, ""B"": 20, ""C"": 45, ""D"": 25, ""most_likely"": ""C""}"
gpqa_012,0.9305,0.6667,0.2638,False,0.589,"{""A"": 25, ""B"": 40, ""C"": 25, ""D"": 10, ""most_likely"": ""B""}"
gpqa_013,0.6595,0.6667,0.0072,False,0.7943,"{""A"": 5, ""B"": 10, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}"
gpqa_018,0.7206,0.875,0.1544,True,0.8765,"{""A"": 65, ""B"": 15, ""C"": 5, ""D"": 15, ""most_likely"": ""A""}"
gpqa_019,0.4238,0.7778,0.354,True,0.7168,"{""A"": 5, ""B"": 5, ""C"": 5, ""D"": 85, ""most_likely"": ""D""}"
gpqa_022,0.6595,0.8889,0.2294,True,0.8165,"{""A"": 5, ""B"": 70, ""C"": 10, ""D"": 15, ""most_likely"": ""B""}"
gpqa_023,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 10, ""B"": 15, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}"
gpqa_025,0.577,0.8889,0.3119,True,0.7505,"{""A"": 5, ""B"": 75, ""C"": 15, ""D"": 5, ""most_likely"": ""B""}"
gpqa_026,0.3088,0.8889,0.5801,True,0.5359,"{""A"": 90, ""B"": 2, ""C"": 3, ""D"": 5, ""most_likely"": ""A""}"
gpqa_028,0.7394,0.7778,0.0384,True,0.9693,"{""A"": 65, ""B"": 15, ""C"": 10, ""D"": 10, ""most_likely"": ""A""}"
gpqa_035,0.6595,0.8889,0.2294,False,0.6165,"{""A"": 70, ""B"": 10, ""C"": 15, ""D"": 5, ""most_likely"": ""A""}"
gpqa_040,0.511,0.875,0.364,True,0.7088,"{""A"": 80, ""B"": 5, ""C"": 5, ""D"": 10, ""most_likely"": ""A""}"
gpqa_042,0.7719,0.8889,0.117,False,0.7064,"{""A"": 10, ""B"": 55, ""C"": 5, ""D"": 30, ""most_likely"": ""B""}"
gpqa_046,0.3088,0.8889,0.5801,True,0.5359,"{""A"": 90, ""B"": 3, ""C"": 2, ""D"": 5, ""most_likely"": ""A""}"
gpqa_049,0.5959,0.875,0.2791,True,0.7767,"{""A"": 10, ""B"": 5, ""C"": 75, ""D"": 10, ""most_likely"": ""C""}"
gpqa_052,0.5959,0.875,0.2791,False,0.5767,"{""A"": 5, ""B"": 10, ""C"": 10, ""D"": 75, ""most_likely"": ""D""}"
gpqa_053,0.5959,0.875,0.2791,True,0.7767,"{""A"": 5, ""B"": 10, ""C"": 75, ""D"": 10, ""most_likely"": ""C""}"
gpqa_054,0.4179,0.7778,0.3599,True,0.712,"{""A"": 85, ""B"": 5, ""C"": 3, ""D"": 7, ""most_likely"": ""A""}"
gpqa_055,0.8407,0.8889,0.0482,False,0.7615,"{""A"": 55, ""B"": 20, ""C"": 10, ""D"": 15, ""most_likely"": ""A""}"
