question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_002,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_007,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_009,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_010,ANSWER,DELEGATE,0.8571,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_012,ANSWER,DELEGATE,0.6667,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_013,ANSWER,DELEGATE,0.6667,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_018,ANSWER,DELEGATE,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_019,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_022,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_023,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_025,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_026,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_028,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_035,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_040,ANSWER,DELEGATE,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_042,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""B"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_046,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_049,ANSWER,DELEGATE,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_052,ANSWER,DELEGATE,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""D"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_053,ANSWER,DELEGATE,0.875,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_054,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_055,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_057,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 4}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_059,ANSWER,DELEGATE,0.8889,1.0,"{""choice"": ""ANSWER"", ""answer"": ""C"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
gpqa_061,ANSWER,DELEGATE,0.7778,1.0,"{""choice"": ""ANSWER"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""DELEGATE"", ""answer"": null, ""confidence"": null}"
