question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_002,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_007,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_009,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_010,ANSWER,ANSWER,0.8571,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_012,ANSWER,ANSWER,0.6667,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_013,ANSWER,ANSWER,0.6667,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_018,ANSWER,ANSWER,0.875,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_019,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_022,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_023,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""22"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""22"", ""confidence"": 3}"
gpqa_025,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_026,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_028,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_035,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_040,ANSWER,ANSWER,0.875,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_042,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_046,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_049,ANSWER,ANSWER,0.875,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_052,ANSWER,ANSWER,0.875,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_053,ANSWER,ANSWER,0.875,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_054,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_055,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_057,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_059,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_061,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_064,ANSWER,ANSWER,0.75,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_065,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_069,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_073,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_074,ANSWER,ANSWER,0.4444,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_075,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_076,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_078,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_080,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_082,ANSWER,ANSWER,0.875,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_083,ANSWER,ANSWER,0.8571,0.3,"{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""A"", ""confidence"": 3}"
gpqa_084,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""0.53"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""0.53"", ""confidence"": 3}"
gpqa_087,ANSWER,ANSWER,0.625,0.3,"{""choice"": ""A"", ""answer"": ""Class switching recombination"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""Class switching recombination"", ""confidence"": 3}"
gpqa_088,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""Triplet of triplets"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""Triplet of triplets"", ""confidence"": 3}"
gpqa_090,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""((R)-((R)-2,2-difluorocyclohexyl)fluoromethyl)benzene"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""((R)-((R)-2,2-difluorocyclohexyl)fluoromethyl)benzene"", ""confidence"": 3}"
gpqa_094,ANSWER,ANSWER,0.7778,0.3,"{""choice"": ""A"", ""answer"": ""2,3,4,5,5-pentamethylhept-6-ene-2,4-diol"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""2,3,4,5,5-pentamethylhept-6-ene-2,4-diol"", ""confidence"": 3}"
gpqa_097,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""1,2-dimethylenecyclopentane"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""1,2-dimethylenecyclopentane"", ""confidence"": 3}"
gpqa_098,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""CH3C(H)(C2H5)C(H)(C2H5)CH2COOH"", ""confidence"": 3}","{""choice"": ""A"", ""answer"": ""CH3C(H)(C2H5)C(H)(C2H5)CH2COOH"", ""confidence"": 3}"
gpqa_099,ANSWER,ANSWER,0.8889,0.3,"{""choice"": ""A"", ""answer"": ""C"", ""confidence"": 3}
","{""choice"": ""B"", ""answer"": ""B"", ""confidence"": 3}
"
