task_slug,model,leaderboard_score,platform_score,completed_mean,diff_vs_platform,n_rows_csv,completion,budget_failure,other_failure
t01-msv_delegate_game,claude-haiku-4-5-20251001,0.6712,0.6712,0.6712,0.0,80,80/80,False,
t01-msv_delegate_game,claude-opus-4-1-20250805,0.7056,0.7056,0.7056,0.0,80,80/80,False,
t01-msv_delegate_game,claude-opus-4-6-default,0.2338,0.2338,0.7192,0.0,26,26/80,True,
t01-msv_delegate_game,deepseek-r1-0528,0.025,0.025,1.0,0.0,2,2/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t01-msv_delegate_game,deepseek-v3.2,0.1794,0.1794,0.7553,0.0,19,19/80,False,"[prompt failure] InternalServerError: Error code: 503 - {'message': 'Could not reach model, even after multiple retries. Try again later.', 'type': 'invalid_request_error'}"
t01-msv_delegate_game,gemini-2.0-flash-lite-001,0.5212,0.5212,0.5212,0.0,80,80/80,False,
t01-msv_delegate_game,gemini-2.5-flash,0.2706,0.2706,0.3093,0.0,70,70/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t01-msv_delegate_game,gemini-3.1-pro-preview,0.7938,0.7938,0.8581,0.0,74,74/80,True,
t01-msv_delegate_game,gemma-3-12b-it,0.4,0.4,0.4,0.0,80,80/80,False,
t01-msv_delegate_game,gemma-3-1b-it,0.35,0.35,0.35,0.0,80,80/80,False,
t01-msv_delegate_game,gemma-3-27b-it,0.52,0.52,0.52,0.0,80,80/80,False,
t01-msv_delegate_game,gemma-3-4b-it,0.3625,0.3625,0.3625,0.0,80,80/80,False,
t01-msv_delegate_game,gemma-4-26b-a4b-it,0.6125,0.6125,0.8305,0.0,59,59/80,False,[prompt failure] APITimeoutError: Request timed out.
t01-msv_delegate_game,gemma-4-31b-it,0.35,0.35,0.875,0.0,32,32/80,True,
t01-msv_delegate_game,glm-5,0.0625,0.0625,1.0,0.0,5,5/80,False,[prompt failure] TypeError: 'NoneType' object is not subscriptable
t01-msv_delegate_game,gpt-5.4-2026-03-05,0.655,0.655,0.655,0.0,80,80/80,False,
