question_id,answer,correct,confidence,delegated,difficulty
gpqa_000,C,1,4.0,0,0.7778
gpqa_002,A,0,4.0,0,0.7778
gpqa_007,A,0,2.0,0,0.7778
gpqa_009,B,1,4.0,0,0.8889
gpqa_010,B,0,2.0,0,0.8571
gpqa_012,,0,,1,0.6667
gpqa_013,C,0,3.0,0,0.6667
gpqa_018,A,1,3.0,0,0.875
gpqa_019,D,1,4.0,0,0.7778
gpqa_022,B,1,3.0,0,0.8889
gpqa_023,B,1,4.0,0,0.8889
gpqa_025,B,1,3.0,0,0.8889
gpqa_026,A,1,4.0,0,0.8889
gpqa_028,B,0,3.0,0,0.7778
gpqa_035,C,1,3.0,0,0.8889
gpqa_040,A,1,4.0,0,0.875
gpqa_042,,0,,1,0.8889
gpqa_046,A,1,4.0,0,0.8889
gpqa_049,C,1,3.0,0,0.875
gpqa_052,D,0,3.0,0,0.875
gpqa_053,C,1,3.0,0,0.875
gpqa_054,A,1,4.0,0,0.7778
gpqa_055,A,0,3.0,0,0.8889
gpqa_057,C,1,4.0,0,0.8889
gpqa_059,A,1,3.0,0,0.8889
gpqa_061,A,1,3.0,0,0.7778
