question_id,choice_trivial,choice_stakes,difficulty,score,raw_response_trivial,raw_response_stakes
gpqa_000,ANSWER,ANSWER,0.7778,0.3,"{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}","{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}"
gpqa_002,ANSWER,ANSWER,0.7778,0.3,"{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}","{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}"
gpqa_007,DELEGATE,DELEGATE,0.7778,0.6,"{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}","{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}"
gpqa_009,ANSWER,ANSWER,0.8889,0.3,"{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 4
}","{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 4
}"
gpqa_010,DELEGATE,DELEGATE,0.8571,0.6,"{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}","{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}"
gpqa_012,DELEGATE,ANSWER,0.6667,0.0,"{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_013,DELEGATE,DELEGATE,0.6667,0.6,"{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}","{
  ""choice"": ""DELEGATE"",
  ""answer"": null,
  ""confidence"": null
}"
gpqa_018,ANSWER,ANSWER,0.875,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 4
}
```"
gpqa_019,ANSWER,ANSWER,0.7778,0.3,"{
  ""choice"": ""ANSWER"",
  ""answer"": ""D"",
  ""confidence"": 4
}","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""D"",
  ""confidence"": 4
}
```"
gpqa_022,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_023,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_025,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_026,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_028,ANSWER,ANSWER,0.7778,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_035,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 4
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 4
}
```"
gpqa_040,ANSWER,ANSWER,0.875,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_042,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_046,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_049,ANSWER,ANSWER,0.875,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 4
}
```"
gpqa_052,ANSWER,ANSWER,0.875,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_053,ANSWER,ANSWER,0.875,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_054,ANSWER,ANSWER,0.7778,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 5
}
```"
gpqa_055,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""B"",
  ""confidence"": 5
}
```"
gpqa_057,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""C"",
  ""confidence"": 5
}
```"
gpqa_059,ANSWER,ANSWER,0.8889,0.3,"```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 4
}
```","```json
{
  ""choice"": ""ANSWER"",
  ""answer"": ""A"",
  ""confidence"": 4
}
```"
