question_id,detected,answered,score,raw_response
gpqa_000,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""C"", ""confidence"": 4}"
gpqa_002,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 5}"
gpqa_007,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 4}"
gpqa_009,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 5}"
gpqa_010,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 5}"
gpqa_012,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context claims that electronegativity increases as you move down a group, but in fact electronegativity decreases down a group. Therefore the provided context is chemically incorrect and inconsistent with standard periodic trends."", ""answer"": null, ""confidence"": 5}"
gpqa_013,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 5}"
gpqa_018,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""A"", ""confidence"": 4}"
gpqa_019,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context claims that entropy in an isolated system can spontaneously decrease without external work, which violates the Second Law of Thermodynamics, making the context physically inconsistent with standard principles."", ""answer"": null, ""confidence"": 5}"
gpqa_022,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The background statement that noble gases readily form covalent bonds under standard conditions contradicts established chemical knowledge; noble gases are largely inert. Therefore, the context is internally inconsistent with known chemistry."", ""answer"": null, ""confidence"": 5}"
gpqa_023,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context states that noble gases readily form covalent bonds under standard conditions, which contradicts well‑established chemical knowledge that noble gases are largely inert. This makes the provided context internally inconsistent with standard chemistry principles."", ""answer"": null, ""confidence"": 5}"
gpqa_025,False,True,0.0,"{""contradiction_detected"": false, ""contradiction_explanation"": null, ""answer"": ""B"", ""confidence"": 5}"
gpqa_026,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The given context states that DNA replication proceeds in the 3' to 5' direction on the leading strand, which contradicts established biochemistry that replication proceeds 5' to 3'. This inconsistency makes the scenario unreliable for a definitive answer."", ""answer"": null, ""confidence"": 5}"
gpqa_028,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context states that DNA replication proceeds in the 3' to 5' direction on the leading strand, which contradicts established biochemistry that replication proceeds 5' to 3'. This makes the context internally inconsistent with known scientific facts."", ""answer"": null, ""confidence"": 5}"
gpqa_035,False,True,0.0,"{""answer"":""C"",""confidence"":5}"
gpqa_040,False,True,0.0,"{""answer"":""A"",""confidence"":5}"
gpqa_042,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context claims that noble gases readily form covalent bonds under standard conditions, which contradicts established chemical knowledge that noble gases are inert; thus the provided background is inconsistent with known science."", ""answer"": null, ""confidence"": 5}"
gpqa_046,False,True,0.0,"{""answer"":""A"",""confidence"":5}"
gpqa_049,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context states that the speed of light in vacuum is approximately 150,000 km/s, which is half the known physical value (~300,000 km/s); this contradicts established scientific facts, making the context internally inconsistent with known science."", ""answer"": null, ""confidence"": 5}"
gpqa_052,False,True,0.0,"{""answer"":""A"",""confidence"":5}"
gpqa_053,False,True,0.0,"{""answer"":""C"",""confidence"":5}"
gpqa_054,False,True,0.0,"{""answer"":""A"",""confidence"":5}"
gpqa_055,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context states that entropy in an isolated system can spontaneously decrease without external work, which contradicts the second law of thermodynamics; therefore the scenario is internally inconsistent."", ""answer"": null, ""confidence"": 5}"
gpqa_057,True,False,1.0,"{""contradiction_detected"": true, ""contradiction_explanation"": ""The context states that the speed of light in vacuum is approximately 150,000 km/s, which is half the true speed (~299,792 km/s). This contradicts fundamental physics and renders the scenario internally inconsistent."", ""answer"": null, ""confidence"": 5}"
gpqa_059,False,False,0.0,"{""answer"":null,""confidence"":5}"
gpqa_061,False,False,0.0,"{""answer"": null, ""confidence"": 5}"
gpqa_064,False,False,0.0,"{""answer"":null,""confidence"":5}"
